"kib-product-image href","kib-product-image src","kib-product-message","kib-product-title__text","kib-product-title__text 2","kib-product-rating__label","kib-product-rating__count","kib-product-price","kib-product-price 2","kib-product-price__label 2","kib-product-pricing__autoship-text","kib-product-message 3","kib-product-price 3","kib-product-price__label 3"
"https://www.chewy.com/instinct-frozen-raw-bites-grain-free/dp/170863","https://image.chewy.com/is/image/catalog/143996_MAIN._AC_SS120_V1668200067_.jpg","More Choices Available","Frozen Raw Bites Grain-Free Real Beef Recipe Dog Food, 6-lb bag","Instinct","Rated 4.1067 out of 5 stars","253","$39.99","$37.99","Autoship Price","Autoship","FREE 1-3 day shipping over $49","",""
"https://www.chewy.com/instinct-freeze-dried-raw-boost/dp/170071","https://image.chewy.com/is/image/catalog/143195_MAIN._AC_SS120_V1548952679_.jpg","More Choices Available","Freeze Dried Raw Boost Mixers Grain-Free Gut Health Recipe Dog Food Topper, 5.5-oz bag...","Instinct","Rated 4.6203 out of 5 stars","403","$11.49","$10.92","Autoship Price","Autoship","FREE 1-3 day shipping over $49","$15.99","List Price"
"https://www.chewy.com/natures-diet-fresh-beef-simply-raw/dp/344413","https://image.chewy.com/is/image/catalog/318131_MAIN._AC_SS120_V1628804545_.jpg","","Fresh Beef Simply Raw Freeze-Dried Dog Food, 3-lb bag","Nature's Diet","Rated 3.3786 out of 5 stars","103","$32.99","$31.34","Autoship Price","Autoship","FREE 1-3 day shipping over $49","$37.99","List Price"
"https://www.chewy.com/stella-chewys-chewys-chicken-dinner/dp/121085","https://image.chewy.com/is/image/catalog/93475_MAIN._AC_SS120_V1528828395_.jpg","More Choices Available","Chewy's Chicken Dinner Patties Freeze-Dried Raw Dog Food, 25-oz bag","Stella & Chewy's","Rated 4.5576 out of 5 stars","746","$49.00","$46.55","Autoship Price","Autoship","FREE 1-3 day shipping on this item","$59.99","List Price"
"https://www.chewy.com/acana-red-meat-recipe-grain-free-dry/dp/121070","https://image.chewy.com/is/image/catalog/93460_MAIN._AC_SS120_V1625669493_.jpg","More Choices Available","Red Meat Recipe Grain-Free Dry Dog Food 25-lb bag","ACANA","Rated 4.6309 out of 5 stars","382","$69.99","$66.49","Autoship Price","Autoship","FREE 1-3 day shipping on this item","",""
"https://www.chewy.com/merrick-backcountry-freeze-dried-raw/dp/258823","https://image.chewy.com/is/image/catalog/232315_MAIN._AC_SS120_V1671475210_.jpg","More Choices Available","Backcountry Freeze-Dried Raw Grain-Free Big Game Recipe with Lamb, Wild Boar & Venison ...","Merrick","Rated 4.4213 out of 5 stars","178","$81.98","$77.88","Autoship Price","Autoship","FREE 1-3 day shipping on this item","",""
"https://www.chewy.com/stella-chewys-stellas-super-beef-meal/dp/109900","https://image.chewy.com/is/image/catalog/82075_MAIN._AC_SS120_V1517943038_.jpg","More Choices Available","Stella's Super Beef Meal Mixers Freeze-Dried Raw Dog Food Topper, 18-oz bag","Stella & Chewy's","Rated 4.7209 out of 5 stars","842","$44.99","$42.74","Autoship Price","Autoship","FREE 1-3 day shipping over $49","",""
"https://www.chewy.com/primal-turkey-sardine-formula-nuggets/dp/45706","https://image.chewy.com/is/image/catalog/60719_MAIN._AC_SS120_V1618429617_.jpg","More Choices Available","Turkey & Sardine Formula Nuggets Grain-Free Raw Freeze-Dried Dog Food, 14-oz bag","Primal","Rated 4.481 out of 5 stars","289","$33.98","$32.28","Autoship Price","Autoship","FREE 1-3 day shipping over $49","$34.00","List Price"
"https://www.chewy.com/variety-pack-instinct-frozen-raw/dp/696534","https://image.chewy.com/is/image/catalog/696566_MAIN._AC_SS120_V1668095039_.jpg","","Variety Pack - Instinct Frozen Raw Bites Grain-Free Cage-Free Chicken Recipe Dog Food, ...","Bundle:","Rated 5 out of 5 stars","1","$106.17","$100.86","Autoship Price","Autoship","FREE 1-3 day shipping on this item","$117.97","List Price"
"https://www.chewy.com/wellness-core-rawrev-grain-free-small/dp/325061","https://image.chewy.com/is/image/catalog/298720_MAIN._AC_SS120_V1621301849_.jpg","","Wellness CORE RawRev Grain-Free Small Breed Original Recipe with Freeze Dried Turkey Dr...","Bundle:","Rated 4.75 out of 5 stars","8","$43.57","$41.39","Autoship Price","Autoship","FREE 1-3 day shipping over $49","$47.36","List Price"
